IdVenta,Fecha,Fecha_Entrega,IdCanal,IdCliente,IdSucursal,IdEmpleado,IdProducto,Precio,Cantidad,Ventas_totales,,
78,14/11/2019,22/11/2019,2,1854,13,1674,42788,421.96,2,843.92,0,
79,13/12/2019,16/12/2019,1,1865,13,1674,42777,2557.5,3,7672.5,0,
80,19/12/2019,26/12/2019,2,1788,13,1674,42799,1536.04,2,3072.08,0,
81,27/01/2020,28/01/2020,2,109,13,1674,42760,1637.24,3,4911.72,0,
82,10/04/2020,11/04/2020,3,333,13,1674,42791,258.28,2,516.56,0,
83,27/05/2020,04/06/2020,2,721,13,1674,42764,1385.78,1,1385.78,1,
85,13/02/2015,14/02/2015,3,582,13,1674,42846,2846.58,2,5693.16,0,
87,10/09/2015,17/09/2015,3,237,13,1674,42825,554.18,3,1662.54,0,
88,16/09/2015,21/09/2015,3,1691,13,1674,42831,369.6,1,369.6,0,
89,22/10/2015,27/10/2015,1,135,13,1674,42840,353.32,2,706.64,0,
90,06/11/2015,14/11/2015,3,568,13,1674,42848,1588,2,3176,0,
91,20/01/2016,27/01/2016,1,160,13,1674,42849,1542,3,4626,0,
92,11/02/2016,16/02/2016,2,1818,13,1674,42833,819.06,2,1638.12,0,
93,26/09/2016,03/10/2016,3,484,13,1674,42845,823.24,2,1646.48,1,
94,09/12/2016,19/12/2016,3,2664,13,1674,42841,353.32,3,1059.96,0,
95,12/12/2016,16/12/2016,3,530,13,1674,42865,199,1,199,0,
96,28/12/2016,02/01/2017,1,3,13,1674,42836,823.24,3,2469.72,-11,
97,10/01/2017,11/01/2017,1,2984,13,1674,42841,353.32,1,353.32,0,
98,17/01/2017,21/01/2017,1,1859,13,1674,42871,560,1,560,0,
99,25/02/2017,02/03/2017,1,17,13,1674,42858,505,2,1010,1,
100,15/06/2017,25/06/2017,2,3365,13,1674,42844,1810.38,1,1810.38,0,
102,11/07/2017,14/07/2017,1,1111,13,1674,42858,505,2,1010,0,
103,25/07/2017,28/07/2017,1,610,13,1674,42869,199,2,398,0,
104,27/07/2017,01/08/2017,2,708,13,1674,42824,584.76,1,584.76,1,
107,05/01/2018,13/01/2018,2,3401,13,1674,42830,486.42,2,972.84,0,
108,08/01/2018,09/01/2018,1,741,13,1674,42862,512,3,1536,0,
109,05/02/2018,08/02/2018,2,4,13,1674,42861,542,1,542,0,
110,05/03/2018,10/03/2018,3,1049,13,1674,42846,2846.58,3,8539.74,0,
111,19/04/2018,22/04/2018,3,1839,13,1674,42870,178,2,356,0,
112,04/05/2018,09/05/2018,3,1204,13,1674,42858,505,3,1515,0,
113,03/08/2018,08/08/2018,2,191,13,1674,42878,560,2,1120,0,
115,27/11/2018,29/11/2018,2,631,13,1674,42834,818.84,2,1637.68,0,
116,01/01/2019,02/01/2019,2,1693,13,1674,42825,554.18,1,554.18,0,
117,17/01/2019,24/01/2019,2,432,13,1674,42822,816.86,1,816.86,0,
118,07/02/2019,08/02/2019,1,1789,13,1674,42855,1130,3,3390,0,
119,06/03/2019,07/03/2019,3,1651,13,1674,42873,560,2,1120,0,
120,04/04/2019,09/04/2019,2,2579,13,1674,42858,505,3,1515,0,
121,19/04/2019,23/04/2019,3,1632,13,1674,42859,610,2,1220,0,
122,08/07/2019,09/07/2019,1,2735,13,1674,42883,498,2,996,0,
123,10/07/2019,17/07/2019,2,535,13,1674,42839,353.32,1,353.32,0,
124,18/10/2019,19/10/2019,2,2798,13,1674,42855,1130,2,2260,0,
125,01/11/2019,03/11/2019,1,1532,13,1674,42833,819.06,2,1638.12,0,
126,24/02/2020,03/03/2020,2,427,13,1674,42855,1130,1,1130,1,
127,18/03/2020,21/03/2020,1,1066,13,1674,42827,512.38,3,1537.14,0,
128,04/04/2020,06/04/2020,2,966,13,1674,42869,199,1,199,0,
129,20/04/2020,25/04/2020,3,451,13,1674,42870,178,1,178,0,
130,13/01/2015,23/01/2015,1,219,13,1674,42914,1489,2,2978,0,
131,16/01/2015,21/01/2015,3,880,13,1674,42885,498,2,996,0,
133,27/06/2015,04/07/2015,3,2780,13,1674,42903,269,2,538,1,
134,03/10/2015,13/10/2015,3,950,13,1674,42947,2974,2,5948,0,
135,19/12/2015,23/12/2015,3,2719,13,1674,42913,1357,1,1357,0,
136,01/03/2016,06/03/2016,1,1824,13,1674,42929,321,3,963,0,
137,26/04/2016,01/05/2016,3,1826,13,1674,42934,1789,2,3578,1,
138,08/07/2016,12/07/2016,2,1617,13,1674,42923,753,2,1506,0,
139,16/08/2016,24/08/2016,2,1278,13,1674,42902,258,3,774,0,
140,22/08/2016,27/08/2016,3,2969,13,1674,42905,456,1,456,0,
141,04/11/2016,07/11/2016,1,3121,13,1674,42907,456,2,912,0,
142,23/11/2016,01/12/2016,1,3172,13,1674,42948,2786,2,5572,1,
143,01/02/2017,09/02/2017,2,1719,13,1674,42940,2162,2,4324,0,
144,07/02/2017,12/02/2017,2,351,13,1674,42941,2971,2,5942,0,
145,11/04/2017,16/04/2017,1,383,13,1674,42896,515,2,1030,0,
146,20/07/2017,24/07/2017,3,3350,13,1674,42916,1356,1,1356,0,
147,26/07/2017,29/07/2017,2,566,13,1674,42939,2915,3,8745,0,
148,14/09/2017,18/09/2017,3,8,13,1674,42930,156,3,468,0,
149,20/10/2017,21/10/2017,3,495,13,1674,42931,324,1,324,0,
150,02/12/2017,07/12/2017,2,2700,13,1674,42931,324,1,324,0,
151,17/01/2018,22/01/2018,1,1146,13,1674,42930,156,2,312,0,
152,11/09/2018,16/09/2018,2,1637,13,1674,42888,498,1,498,0,
153,09/01/2019,12/01/2019,3,3090,13,1674,42905,456,2,912,0,
156,19/03/2019,29/03/2019,2,1638,13,1674,42912,1654,3,4962,0,
157,13/04/2019,18/04/2019,1,787,13,1674,42893,515,1,515,0,
158,04/06/2019,08/06/2019,2,1475,13,1674,42939,2915,2,5830,0,
159,17/06/2019,21/06/2019,3,1731,13,1674,42891,515,2,1030,0,
161,12/07/2019,16/07/2019,3,1580,13,1674,42886,498,3,1494,0,
163,08/10/2019,12/10/2019,2,2652,13,1674,42930,156,2,312,0,
164,01/02/2020,06/02/2020,2,1616,13,1674,42923,753,2,1506,0,
166,02/05/2020,09/05/2020,2,1641,13,1674,42916,1356,3,4068,0,
167,27/01/2015,03/02/2015,2,2763,13,1674,43013,354,2,708,1,
168,19/02/2015,24/02/2015,3,662,13,1674,42973,123,2,246,0,
169,28/05/2015,02/06/2015,1,994,13,1674,43006,519,2,1038,1,
170,29/05/2015,03/06/2015,1,1250,13,1674,42955,2366,3,7098,1,
171,08/08/2015,09/08/2015,2,1077,13,1674,42960,4125,2,8250,0,
172,21/08/2015,22/08/2015,3,1120,13,1674,43013,354,3,1062,0,
173,21/10/2015,26/10/2015,1,1434,13,1674,43006,519,2,1038,0,
174,13/11/2015,17/11/2015,3,2734,13,1674,42968,3445,2,6890,0,
176,05/03/2016,10/03/2016,2,2667,13,1674,43008,389,2,778,0,
178,29/04/2016,04/05/2016,1,820,13,1674,42955,2366,3,7098,1,
179,30/04/2016,05/05/2016,1,2866,13,1674,43013,354,2,708,1,
180,19/05/2016,22/05/2016,3,2815,13,1674,43006,519,2,1038,0,
182,09/11/2016,14/11/2016,2,1370,13,1674,42995,364,2,728,0,
184,03/04/2017,08/04/2017,3,1864,13,1674,42969,3839,2,7678,0,
185,26/05/2017,03/06/2017,2,2966,13,1674,42990,353,1,353,1,
186,13/07/2017,16/07/2017,1,1464,13,1674,42994,579,2,1158,0,
187,02/08/2017,03/08/2017,1,1665,13,1674,42986,354,1,354,0,
188,18/08/2017,23/08/2017,2,2805,13,1674,43004,373,2,746,0,
189,26/08/2017,27/08/2017,3,779,13,1674,42977,111,1,111,0,
191,03/11/2017,06/11/2017,3,1815,13,1674,42970,3001,1,3001,0,
192,13/02/2018,17/02/2018,1,971,13,1674,42964,2824,1,2824,0,
193,07/03/2018,12/03/2018,1,1521,13,1674,42953,3620,2,7240,0,
194,25/07/2018,28/07/2018,3,1054,13,1674,42998,529,3,1587,0,
195,27/09/2018,04/10/2018,3,1149,13,1674,42976,216,1,216,1,
196,15/10/2018,19/10/2018,3,1724,13,1674,43003,442,2,884,0,
197,19/10/2018,29/10/2018,3,1870,13,1674,43006,519,2,1038,0,
198,30/11/2018,05/12/2018,3,2922,13,1674,42956,2093,2,4186,1,
199,17/05/2019,22/05/2019,3,649,13,1674,43001,625,2,1250,0,
201,19/07/2019,24/07/2019,2,713,13,1674,42964,2824,3,8472,0,
202,24/09/2019,29/09/2019,2,2532,13,1674,43009,563,3,1689,0,
203,27/11/2019,29/11/2019,1,1397,13,1674,42987,456,2,912,0,
204,04/12/2019,05/12/2019,3,733,13,1674,42984,258,2,516,0,
205,14/12/2019,19/12/2019,2,2835,13,1674,43011,387,3,1161,0,
206,11/01/2020,15/01/2020,2,508,13,1674,42972,2741,2,5482,0,
208,06/02/2020,11/02/2020,2,1095,13,1674,42990,353,1,353,0,
209,25/02/2020,27/02/2020,2,1,13,1674,42977,111,3,333,0,
210,24/02/2020,28/02/2020,2,416,13,1674,43013,354,2,708,0,
211,03/03/2016,06/03/2016,1,1616,13,1674,43035,1159,3,3477,0,
212,18/05/2016,23/05/2016,1,1505,13,1674,43021,435,2,870,0,
213,27/08/2016,01/09/2016,3,346,13,1674,43031,1191,2,2382,1,
214,17/06/2017,18/06/2017,2,731,13,1674,43036,744,2,1488,0,
215,08/06/2018,18/06/2018,1,1648,13,1674,43024,508,1,508,0,
216,14/07/2018,18/07/2018,3,1684,13,1674,43020,562,2,1124,0,
217,31/12/2018,03/01/2019,1,1607,13,1674,43020,562,1,562,-11,
218,03/04/2019,06/04/2019,1,1835,13,1674,43035,1159,1,1159,0,
219,22/04/2019,26/04/2019,1,2962,13,1674,43037,1137,2,2274,0,
220,27/04/2019,02/05/2019,2,166,13,1674,43033,1182,3,3546,1,
221,21/06/2019,23/06/2019,1,1854,13,1674,43037,1137,2,2274,0,
222,09/07/2019,10/07/2019,3,1204,13,1674,43017,358,2,716,0,
223,21/09/2019,01/10/2019,2,184,13,1674,43021,435,1,435,1,
225,08/04/2020,13/04/2020,1,3001,13,1674,43043,1159,1,1159,0,
226,06/03/2020,08/03/2020,1,584,13,1674,43036,744,2,1488,0,
227,07/01/2020,10/01/2020,1,561,13,1674,42828,906.18,3,2718.54,0,
228,30/01/2020,04/02/2020,2,208,13,1674,42845,823.24,2,1646.48,1,
230,29/02/2020,02/03/2020,1,720,13,1674,42848,1588,1,1588,1,
231,29/04/2020,01/05/2020,2,1549,13,1674,42827,512.38,1,512.38,1,
232,21/04/2020,28/04/2020,2,3368,13,1674,42950,2603,2,5206,0,
233,07/03/2020,08/03/2020,2,1549,13,1674,42995,364,1,364,0,
234,29/05/2020,07/06/2020,2,3250,13,1674,42904,135,1,135,1,
235,28/03/2016,31/03/2016,1,1722,13,1516,42837,430.32,3,1290.96,0,
236,23/10/2017,24/10/2017,2,2876,13,1516,42834,818.84,2,1637.68,0,
237,04/10/2018,12/10/2018,2,1458,13,1516,42852,152,1,152,0,
239,10/07/2017,18/07/2017,2,201,13,1516,42940,2162,2,4324,0,
240,12/03/2018,20/03/2018,3,884,13,1516,42946,2173,3,6519,0,
241,03/04/2018,06/04/2018,2,1006,13,1516,42905,456,3,1368,0,
242,14/06/2018,22/06/2018,3,1132,13,1516,42916,1356,2,2712,0,
243,17/02/2015,18/02/2015,1,2866,13,1516,42969,3839,2,7678,0,
244,30/03/2016,02/04/2016,1,1856,13,1516,42960,4125,2,8250,1,
245,16/05/2017,24/05/2017,2,460,13,1516,42987,456,2,912,0,
246,03/06/2017,11/06/2017,1,519,13,1516,43010,387,2,774,0,
247,16/09/2017,17/09/2017,3,3367,13,1516,42953,3620,1,3620,0,
248,08/06/2016,11/06/2016,3,37,13,1516,43041,779,2,1558,0,
249,19/11/2015,27/11/2015,2,723,13,1516,42790,762.96,2,1525.92,0,
250,01/08/2016,04/08/2016,2,1019,13,1516,42796,457.82,1,457.82,0,
251,21/06/2017,27/06/2017,3,385,13,1516,42789,218.02,2,436.04,0,
252,08/03/2019,16/03/2019,3,1286,13,1516,42787,1366.42,2,2732.84,0,
253,04/06/2019,07/06/2019,3,1117,13,1516,42763,2118.38,2,4236.76,0,
254,10/07/2015,18/07/2015,3,337,13,1516,42880,560,1,560,0,
255,27/05/2016,05/06/2016,2,2716,13,1516,42876,560,1,560,1,
256,05/10/2016,13/10/2016,3,1539,13,1516,42832,818.84,1,818.84,0,
257,18/01/2017,21/01/2017,3,1408,13,1516,42865,199,1,199,0,
258,19/10/2017,28/10/2017,2,896,13,1516,42828,906.18,2,1812.36,0,
259,07/05/2019,16/05/2019,1,2939,13,1516,42861,542,1,542,0,
260,19/08/2019,22/08/2019,2,1270,13,1516,42859,610,1,610,0,
261,31/03/2020,03/04/2020,2,1854,13,1516,42877,560,1,560,1,
262,07/07/2015,13/07/2015,2,1064,13,1516,42945,3210,1,3210,0,
263,29/12/2015,06/01/2016,1,739,13,1516,42891,515,3,1545,-11,
264,22/06/2017,28/06/2017,1,305,13,1516,42910,1502,2,3004,0,
265,28/01/2016,31/01/2016,2,572,13,1516,42970,3001,2,6002,0,
266,28/02/2018,08/03/2018,2,723,13,1516,42975,215,1,215,1,
267,07/05/2018,10/05/2018,3,539,13,1516,42993,507,2,1014,0,
268,14/05/2018,22/05/2018,2,983,13,1516,42996,518,1,518,0,
269,01/02/2019,09/02/2019,3,1788,13,1516,43010,387,3,1161,0,
270,14/12/2019,20/12/2019,3,928,13,1516,43010,387,2,774,0,
271,03/09/2016,09/09/2016,1,364,13,1516,43033,1182,2,2364,0,
272,28/03/2017,06/04/2017,1,1117,13,1516,43026,530,2,1060,1,
273,25/12/2018,31/12/2018,2,3156,13,1516,43017,358,1,358,0,
274,08/01/2015,16/01/2015,3,3013,13,1516,42758,1819.18,3,5457.54,0,
275,14/02/2015,18/02/2015,3,356,13,1516,42780,4028.86,2,8057.72,0,
276,23/04/2015,28/04/2015,1,1228,13,1516,42777,2557.5,3,7672.5,0,
277,22/07/2015,27/07/2015,3,1195,13,1516,42763,2118.38,2,4236.76,0,
278,24/08/2015,25/08/2015,3,1149,13,1516,42812,376.64,2,753.28,0,
280,14/09/2015,19/09/2015,3,75,13,1516,42756,638.66,1,638.66,0,
281,16/10/2015,23/10/2015,2,393,13,1516,42764,1385.78,2,2771.56,0,
282,15/10/2015,22/10/2015,3,3360,13,1516,42814,369.82,1,369.82,0,
283,18/12/2015,21/12/2015,3,1746,13,1516,42765,1938.42,2,3876.84,0,
284,31/12/2015,04/01/2016,3,1133,13,1516,42737,1658,2,3316,-11,
285,11/01/2016,14/01/2016,2,2896,13,1516,42776,1423.4,2,2846.8,0,
286,27/07/2016,01/08/2016,1,2711,13,1516,42799,1536.04,3,4608.12,1,
287,13/09/2016,18/09/2016,2,3250,13,1516,42763,2118.38,2,4236.76,0,
288,15/10/2016,19/10/2016,3,421,13,1516,42766,7011.62,1,7011.62,0,
289,08/11/2016,13/11/2016,3,46,13,1516,42816,1254.88,1,1254.88,0,
290,15/03/2017,19/03/2017,2,840,13,1516,42771,2554.2,3,7662.6,0,
291,14/04/2017,18/04/2017,1,3008,13,1516,42812,376.64,2,753.28,0,
292,26/05/2017,31/05/2017,1,480,13,1516,42795,543.18,1,543.18,0,
293,12/09/2017,13/09/2017,3,484,13,1516,42795,543.18,1,543.18,0,
294,07/10/2017,12/10/2017,2,1103,13,1516,42782,3373.92,3,10121.76,0,
295,13/11/2017,14/11/2017,2,639,13,1516,42737,1658,2,3316,0,
296,22/12/2017,27/12/2017,1,1293,13,1516,42783,2452.34,3,7357.02,0,
297,09/02/2018,10/02/2018,2,893,13,1516,42772,6569.86,2,13139.72,0,
298,23/05/2018,28/05/2018,1,1559,13,1516,42787,1366.42,2,2732.84,0,
299,04/08/2018,08/08/2018,2,771,13,1516,42800,1642.74,2,3285.48,0,
300,22/08/2018,01/09/2018,2,1185,13,1516,42779,9555.04,3,28665.12,1,
301,06/09/2018,10/09/2018,3,1167,13,1516,42764,1385.78,2,2771.56,0,
302,01/10/2018,05/10/2018,1,932,13,1516,42796,457.82,3,1373.46,0,
303,02/11/2018,10/11/2018,2,879,13,1516,42790,762.96,3,2288.88,0,
304,01/12/2018,04/12/2018,2,891,13,1516,42770,3597.22,2,7194.44,0,
305,15/02/2019,16/02/2019,1,1645,13,1516,42777,2557.5,2,5115,0,
306,05/03/2019,10/03/2019,3,773,13,1516,42793,871.86,3,2615.58,0,
307,15/07/2019,17/07/2019,1,292,13,1516,42818,1907.62,3,5722.86,0,
308,15/07/2019,18/07/2019,2,442,13,1516,42810,1282.82,2,2565.64,0,
309,02/09/2019,03/09/2019,2,2946,13,1516,42799,1536.04,2,3072.08,0,
310,14/11/2019,22/11/2019,2,1854,13,1516,42788,421.96,2,843.92,0,
311,13/12/2019,16/12/2019,2,1865,13,1516,42777,2557.5,2,5115,0,
312,27/01/2020,28/01/2020,1,109,13,1516,42760,1637.24,2,3274.48,0,
313,13/04/2020,21/04/2020,2,2809,13,1516,42792,479.82,3,1439.46,0,
314,27/05/2020,04/06/2020,1,721,13,1516,42764,1385.78,3,4157.34,1,
315,07/02/2015,12/02/2015,3,993,13,1516,42884,498,3,1494,0,
317,20/04/2015,25/04/2015,1,1170,13,1516,42832,818.84,2,1637.68,0,
318,30/06/2015,05/07/2015,3,1233,13,1516,42870,178,1,178,1,
319,14/09/2015,19/09/2015,1,1425,13,1516,42825,554.18,2,1108.36,0,
320,22/10/2015,27/10/2015,3,135,13,1516,42840,353.32,3,1059.96,0,
321,17/11/2015,20/11/2015,3,533,13,1516,42865,199,2,398,0,
322,11/01/2016,13/01/2016,1,2679,13,1516,42876,560,3,1680,0,
323,20/01/2016,27/01/2016,1,160,13,1516,42849,1542,2,3084,0,
324,26/01/2016,29/01/2016,1,1799,13,1516,42863,398,2,796,0,
325,11/02/2016,16/02/2016,1,1818,13,1516,42833,819.06,1,819.06,0,
326,26/03/2016,31/03/2016,1,526,13,1516,42879,560,1,560,0,
327,27/09/2016,05/10/2016,1,2979,13,1516,42856,481,2,962,1,
328,09/11/2016,12/11/2016,1,453,13,1516,42845,823.24,2,1646.48,0,
329,09/12/2016,19/12/2016,3,2664,13,1516,42841,353.32,2,706.64,0,
330,12/12/2016,16/12/2016,1,530,13,1516,42865,199,1,199,0,
331,12/01/2017,19/01/2017,1,1143,13,1516,42840,353.32,2,706.64,0,
333,25/02/2017,28/02/2017,3,191,13,1516,42838,897.38,1,897.38,0,
334,25/02/2017,02/03/2017,2,17,13,1516,42858,505,2,1010,1,
335,17/05/2017,18/05/2017,2,1101,13,1516,42837,430.32,1,430.32,0,
336,15/06/2017,25/06/2017,2,3365,13,1516,42844,1810.38,1,1810.38,0,
337,11/07/2017,14/07/2017,3,1111,13,1516,42858,505,1,505,0,
338,12/07/2017,13/07/2017,2,24,13,1516,42879,560,3,1680,0,
339,25/07/2017,28/07/2017,1,610,13,1516,42869,199,2,398,0,
340,31/08/2017,10/09/2017,1,159,13,1516,42820,652.74,3,1958.22,1,
341,26/09/2017,01/10/2017,3,892,13,1516,42859,610,3,1830,1,
342,10/10/2017,15/10/2017,2,929,13,1516,42853,727,1,727,0,
343,15/11/2017,19/11/2017,2,1425,13,1516,42866,199,1,199,0,
344,05/01/2018,13/01/2018,2,3401,13,1516,42830,486.42,2,972.84,0,
345,05/02/2018,08/02/2018,2,4,13,1516,42861,542,2,1084,0,
346,04/05/2018,09/05/2018,2,1204,13,1516,42858,505,2,1010,0,
347,27/06/2018,07/07/2018,1,999,13,1516,42877,560,2,1120,1,
348,03/08/2018,08/08/2018,1,191,13,1516,42878,560,3,1680,0,
349,08/10/2018,13/10/2018,2,1868,13,1516,42820,652.74,2,1305.48,0,
350,27/11/2018,29/11/2018,1,631,13,1516,42834,818.84,2,1637.68,0,
351,01/01/2019,02/01/2019,2,1693,13,1516,42825,554.18,1,554.18,0,
352,07/02/2019,08/02/2019,2,1789,13,1516,42855,1130,2,2260,0,
353,26/03/2019,27/03/2019,2,223,13,1516,42860,587,2,1174,0,
354,04/04/2019,09/04/2019,1,2579,13,1516,42858,505,2,1010,0,
355,27/06/2019,02/07/2019,2,3271,13,1516,42883,498,2,996,1,
356,08/07/2019,09/07/2019,2,2735,13,1516,42883,498,3,1494,0,
357,18/10/2019,19/10/2019,2,2798,13,1516,42855,1130,1,1130,0,
358,17/01/2020,22/01/2020,2,178,13,1516,42836,823.24,2,1646.48,0,
359,27/02/2020,28/02/2020,2,3323,13,1516,42836,823.24,2,1646.48,0,
360,18/03/2020,21/03/2020,2,1066,13,1516,42827,512.38,2,1024.76,0,
361,04/04/2020,06/04/2020,1,966,13,1516,42869,199,2,398,0,
362,02/01/2015,03/01/2015,3,1390,13,1516,42892,515,1,515,0,
363,13/01/2015,23/01/2015,2,219,13,1516,42914,1489,2,2978,0,
364,16/01/2015,21/01/2015,1,880,13,1516,42885,498,2,996,0,
365,31/01/2015,05/02/2015,2,790,13,1516,42890,515,2,1030,1,
366,27/06/2015,04/07/2015,1,2780,13,1516,42903,269,2,538,1,
367,03/10/2015,13/10/2015,3,950,13,1516,42947,2974,2,5948,0,
368,20/10/2015,28/10/2015,1,476,13,1516,42889,515,1,515,0,
369,09/11/2015,14/11/2015,3,1386,13,1516,42887,498,2,996,0,
370,21/12/2015,25/12/2015,3,778,13,1516,42886,498,3,1494,0,
371,22/01/2016,27/01/2016,1,1588,13,1516,42935,2456,2,4912,0,
